train_window,year,window_start_date,window_end_date,window_days,combined_regime,days,strategy,strategy_sats,dca_sats,extra_sats_vs_dca,strategy_spd,dca_spd,extra_spd_vs_dca,spd_ratio,improvement_pct,status,candidate_weight_col,candidate_weight_col_used_for_eval,uses_shifted_candidate_weight
3,2020,2020-01-01,2020-12-31,366,BTC Bull | High MVRV | Market Growth Leading,32,stacksats_mvrv_weight,1523272.3551419268,411398.09374058165,1111874.261401345,1523.2723551419267,411.39809374058166,1111.874261401345,3.7026723709188305,270.26723709188303,better,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
3,2020,2020-01-01,2020-12-31,366,BTC Bull | High MVRV | Market Growth Leading,32,stacksats_momentum_weight,320958.68337532977,411398.09374058165,-90439.41036525188,320.95868337532977,411.39809374058166,-90.43941036525189,0.7801657038734824,-21.98342961265176,worse,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
3,2020,2020-01-01,2020-12-31,366,BTC Bull | High MVRV | Market Growth Leading,32,sma_340d_weight,0.005731454946663323,411398.09374058165,-411398.0880091267,5.7314549466633224e-06,411.39809374058166,-411.3980880091267,1.3931651686936227e-08,-99.99999860683482,worse,sma_340d_weight,sma_340d_weight_shifted,True
3,2020,2020-01-01,2020-12-31,366,BTC Bull | Normal MVRV | Market Growth Leading,142,stacksats_mvrv_weight,1695606.0155276433,3441152.073850481,-1745546.0583228376,1695.6060155276432,3441.152073850481,-1745.5460583228378,0.49274370302104753,-50.72562969789524,worse,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
3,2020,2020-01-01,2020-12-31,366,BTC Bull | Normal MVRV | Market Growth Leading,142,stacksats_momentum_weight,3317546.232088428,3441152.073850481,-123605.84176205285,3317.546232088428,3441.152073850481,-123.60584176205293,0.9640800990164483,-3.591990098355169,worse,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
3,2020,2020-01-01,2020-12-31,366,BTC Bull | Normal MVRV | Market Growth Leading,142,sma_340d_weight,2843964.5588680524,3441152.073850481,-597187.5149824284,2843.9645588680523,3441.152073850481,-597.1875149824286,0.8264570986209845,-17.35429013790155,worse,sma_340d_weight,sma_340d_weight_shifted,True
3,2020,2020-01-01,2020-12-31,366,BTC Bull | Normal MVRV | Realized Growth Leading,40,stacksats_mvrv_weight,267370.89706308406,1023273.801840371,-755902.9047772869,267.37089706308404,1023.273801840371,-755.902904777287,0.26128969253606815,-73.87103074639319,worse,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
3,2020,2020-01-01,2020-12-31,366,BTC Bull | Normal MVRV | Realized Growth Leading,40,stacksats_momentum_weight,1029002.5480350284,1023273.801840371,5728.746194657404,1029.0025480350284,1023.273801840371,5.728746194657447,1.005598449001972,0.5598449001972039,better,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
3,2020,2020-01-01,2020-12-31,366,BTC Bull | Normal MVRV | Realized Growth Leading,40,sma_340d_weight,927027.8837716806,1023273.801840371,-96245.91806869034,927.0278837716806,1023.273801840371,-96.24591806869034,0.9059431425923434,-9.405685740765657,worse,sma_340d_weight,sma_340d_weight_shifted,True
3,2020,2020-01-01,2020-12-31,366,BTC Neutral | Normal MVRV | Market Growth Leading,50,stacksats_mvrv_weight,1895226.7106026886,1763941.803131885,131284.9074708037,1895.2267106026886,1763.9418031318849,131.28490747080377,1.0744270061731669,7.442700617316689,better,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
3,2020,2020-01-01,2020-12-31,366,BTC Neutral | Normal MVRV | Market Growth Leading,50,stacksats_momentum_weight,2128662.915876707,1763941.803131885,364721.11274482217,2128.662915876707,1763.9418031318849,364.721112744822,1.206764821887694,20.676482188769405,better,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
3,2020,2020-01-01,2020-12-31,366,BTC Neutral | Normal MVRV | Market Growth Leading,50,sma_340d_weight,2786653.4526732056,1763941.803131885,1022711.6495413207,2786.6534526732057,1763.9418031318849,1022.7116495413209,1.5797876368287733,57.97876368287733,better,sma_340d_weight,sma_340d_weight_shifted,True
3,2020,2020-01-01,2020-12-31,366,BTC Neutral | Normal MVRV | Realized Growth Leading,61,stacksats_mvrv_weight,1204617.5148300752,1792222.8798786514,-587605.3650485761,1204.6175148300752,1792.2228798786514,-587.6053650485762,0.6721359984599895,-32.78640015400105,worse,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
3,2020,2020-01-01,2020-12-31,366,BTC Neutral | Normal MVRV | Realized Growth Leading,61,stacksats_momentum_weight,1885792.82355673,1792222.8798786514,93569.94367807871,1885.7928235567301,1792.2228798786514,93.56994367807874,1.0522088768805442,5.220887688054421,better,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
3,2020,2020-01-01,2020-12-31,366,BTC Neutral | Normal MVRV | Realized Growth Leading,61,sma_340d_weight,2223331.61624558,1792222.8798786514,431108.73636692856,2223.33161624558,1792.2228798786514,431.1087363669285,1.2405441539704694,24.054415397046935,better,sma_340d_weight,sma_340d_weight_shifted,True
4,2021,2021-01-01,2021-12-31,365,BTC Bull | High MVRV | Market Growth Leading,171,stacksats_mvrv_weight,742527.177712579,946687.6343300205,-204160.4566174415,742.527177712579,946.6876343300205,-204.16045661744147,0.7843423224156427,-21.565767758435726,worse,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
4,2021,2021-01-01,2021-12-31,365,BTC Bull | High MVRV | Market Growth Leading,171,stacksats_momentum_weight,890065.5979504171,946687.6343300205,-56622.036379603436,890.0655979504171,946.6876343300205,-56.6220363796034,0.9401893144831501,-5.981068551684987,worse,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
4,2021,2021-01-01,2021-12-31,365,BTC Bull | High MVRV | Market Growth Leading,171,sma_340d_weight,165582.09875432798,946687.6343300205,-781105.5355756925,165.58209875432797,946.6876343300205,-781.1055355756926,0.17490679369812615,-82.50932063018739,worse,sma_340d_weight,sma_340d_weight_shifted,True
4,2021,2021-01-01,2021-12-31,365,BTC Bull | Normal MVRV | Market Growth Leading,130,stacksats_mvrv_weight,1809806.6792375324,859223.5290549418,950583.1501825906,1809.8066792375325,859.2235290549419,950.5831501825907,2.106328118397939,110.6328118397939,better,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
4,2021,2021-01-01,2021-12-31,365,BTC Bull | Normal MVRV | Market Growth Leading,130,stacksats_momentum_weight,931090.0180631585,859223.5290549418,71866.48900821665,931.0900180631585,859.2235290549419,71.8664890082166,1.0836412022925657,8.364120229256567,better,stacksats_momentum_weight,stacksats_momentum_weight_shifted,True
4,2021,2021-01-01,2021-12-31,365,BTC Bull | Normal MVRV | Market Growth Leading,130,sma_340d_weight,1302870.7226372946,859223.5290549418,443647.1935823527,1302.8707226372946,859.2235290549419,443.64719358235277,1.5163350147898293,51.633501478982936,better,sma_340d_weight,sma_340d_weight_shifted,True
4,2021,2021-01-01,2021-12-31,365,BTC Bull | Normal MVRV | Realized Growth Leading,26,stacksats_mvrv_weight,11373.401111289619,133294.3500549176,-121920.94894362797,11.373401111289619,133.2943500549176,-121.92094894362798,0.08532545532953009,-91.46745446704699,worse,stacksats_mvrv_weight,stacksats_mvrv_weight_shifted,True
