status,momentum_lookback,sma_lookback,regime_lookback,fallback_strategy,total_lookback,train_windows,train_improvement_pct,train_extra_spd_sum_vs_dca,train_win_rate_pct,train_strategy_sats,train_dca_sats,train_fallback_days,error
success,21,150,270,stacksats_momentum_weight,441,6,-0.5173815495653988,-261.34367023086816,66.66666666666666,50251410.495509304,50512754.16574016,60,
success,21,150,300,sma_150d_weight,471,6,2.211869017181134,1117.2759591168797,66.66666666666666,51630030.12485704,50512754.16574016,82,
success,21,150,300,stacksats_mvrv_weight,471,6,1.9312947219706222,975.5501551249326,66.66666666666666,51488304.320865124,50512754.16574016,82,
success,21,150,300,stacksats_momentum_weight,471,6,1.9727861950433967,996.5086409179348,66.66666666666666,51509262.80665811,50512754.16574016,82,
success,21,150,340,sma_150d_weight,511,6,2.2308715537719292,1126.874663710245,66.66666666666666,51639628.82945042,50512754.16574016,76,
success,21,150,340,stacksats_mvrv_weight,511,6,1.9443586890973252,982.1491247239392,66.66666666666666,51494903.29046412,50512754.16574016,76,
success,21,150,340,stacksats_momentum_weight,511,6,1.9813145881458771,1000.8165671600727,66.66666666666666,51513570.73290025,50512754.16574016,76,
success,21,180,60,sma_180d_weight,261,6,2.044849666223736,1032.909884958557,83.33333333333334,51545664.05069872,50512754.16574016,27,
success,21,180,60,stacksats_mvrv_weight,261,6,1.9172477792073872,968.4546574591368,83.33333333333334,51481208.82319931,50512754.16574016,27,
success,21,180,60,stacksats_momentum_weight,261,6,2.01359893498958,1017.1242799152533,83.33333333333334,51529878.44565542,50512754.16574016,27,
success,21,180,90,sma_180d_weight,291,6,1.5126978121666967,764.1053271302953,83.33333333333334,51276859.492870465,50512754.16574016,24,
success,21,180,90,stacksats_mvrv_weight,291,6,1.3558348904686879,684.8695451157837,83.33333333333334,51197623.71085595,50512754.16574016,24,
success,21,180,90,stacksats_momentum_weight,291,6,1.427104687262526,720.86988236467,83.33333333333334,51233624.04810483,50512754.16574016,24,
success,21,180,120,sma_180d_weight,321,6,0.7924660518879856,400.2964286371207,83.33333333333334,50913050.594377294,50512754.16574016,14,
success,21,180,120,stacksats_mvrv_weight,321,6,0.6390893048757507,322.82160947142256,83.33333333333334,50835575.7752116,50512754.16574016,14,
success,21,180,120,stacksats_momentum_weight,321,6,0.718279890079554,362.8229550978358,83.33333333333334,50875577.12083801,50512754.16574016,14,
success,21,180,150,sma_180d_weight,351,6,0.5250732875637487,265.22897893704794,83.33333333333334,50777983.14467722,50512754.16574016,13,
success,21,180,150,stacksats_mvrv_weight,351,6,0.37208696424038123,187.95137352951133,83.33333333333334,50700705.539269686,50512754.16574016,13,
success,21,180,150,stacksats_momentum_weight,351,6,0.45192609484756563,228.280317301178,83.33333333333334,50741034.483041346,50512754.16574016,13,
success,21,180,180,sma_180d_weight,381,6,0.38564937212570705,194.8021192835804,83.33333333333334,50707556.28502376,50512754.16574016,13,
success,21,180,180,stacksats_mvrv_weight,381,6,0.23233553911872207,117.3590797146826,83.33333333333334,50630113.24545486,50512754.16574016,13,
success,21,180,180,stacksats_momentum_weight,381,6,0.3113179337190797,157.2552625333774,83.33333333333334,50670009.42827356,50512754.16574016,13,
success,21,180,200,sma_180d_weight,401,6,0.4237012651518546,214.02317846328515,83.33333333333334,50726777.34420346,50512754.16574016,13,
success,21,180,200,stacksats_mvrv_weight,401,6,0.272548108013404,137.6715557841817,83.33333333333334,50650425.72152436,50512754.16574016,13,
success,21,180,200,stacksats_momentum_weight,401,6,0.3494323824769774,176.50792033608013,83.33333333333334,50689262.08607626,50512754.16574016,13,
